         16595716 function calls (16555956 primitive calls) in 4.772 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  442/217    0.002    0.000    0.015    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/copy.py:218(_deepcopy_dict)
   134380    0.015    0.000    0.015    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.015    0.015 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/linalg/_basic.py:1(<module>)
        1    0.000    0.000    0.015    0.015 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/multiarray.py:1(<module>)
     1332    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      210    0.000    0.000    0.015    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/inspect.py:872(getdoc)
        1    0.000    0.000    0.015    0.015 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_typing/__init__.py:1(<module>)
   123319    0.015    0.000    0.015    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/internals/managers.py:2023(internal_values)
       13    0.000    0.000    0.015    0.001 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/parsers/readers.py:1907(read)
        1    0.000    0.000    0.014    0.014 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/callconv.py:1(<module>)
     1883    0.001    0.000    0.014    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:573(dedent_lines)
      439    0.009    0.000    0.014    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/doccer.py:225(indentcount_lines)
      673    0.005    0.000    0.014    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/inspect.py:2392(_signature_from_function)
        1    0.000    0.000    0.014    0.014 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/base.py:1(<module>)
        1    0.000    0.000    0.013    0.013 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/special/_support_alternative_backends.py:1(<module>)
    60636    0.013    0.000    0.013    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/missing.py:184(_isna)
     2290    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        1    0.000    0.000    0.013    0.013 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/__init__.py:13(_ensure_critical_deps)
     4424    0.013    0.000    0.013    0.000 {method 'sub' of 're.Pattern' objects}
       23    0.000    0.000    0.013    0.001 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/special/_support_alternative_backends.py:46(wrapper)
        1    0.000    0.000    0.013    0.013 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/__init__.py:1(<module>)
        1    0.000    0.000    0.013    0.013 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/cpython/builtins.py:1(<module>)
        1    0.000    0.000    0.013    0.013 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typing/typeof.py:1(<module>)
    37980    0.013    0.000    0.013    0.000 {method 'format' of 'str' objects}
     2618    0.012    0.000    0.012    0.000 {method 'findall' of 're.Pattern' objects}
6755/6523    0.009    0.000    0.012    0.000 {built-in method __new__ of type object at 0x5584679e8ae0}
