MBD_Temp_ID,Latitude,Longitude
TEMP000683,52.5950722,1.266858
TEMP000684,52.8801603,1.2978258
TEMP000685,52.4940719,1.4942984
TEMP000686,52.7594986,1.3265343
TEMP000687,52.4753196,1.5502508
TEMP000688,52.3966823,1.1851692
TEMP000689,52.7653493,1.2535449
TEMP000690,52.66449,1.0395527
TEMP000691,52.6587511,1.0341248
TEMP000692,52.6757081,1.0397375
TEMP000693,52.6525556,1.6666589
TEMP000694,52.7292342,1.1590143
TEMP000695,52.5464627,1.0416316
TEMP000696,51.2014395,-0.4054323
TEMP000697,52.686542,0.5832197
TEMP000698,52.8892653,0.9877611
TEMP000699,52.7810688,0.8034187
TEMP000700,52.7630555,0.9449685
TEMP000701,52.6714603,1.6948768
TEMP000702,52.3677504,1.1580964
TEMP000703,52.581622,0.5696776
TEMP000704,52.7684906,1.3027238
TEMP000705,52.3957807,0.94255
TEMP000706,52.5736429,1.5776685
TEMP000707,52.4765987,1.209624
TEMP000708,52.8569649,1.4491071
TEMP000709,52.8884588,0.9475685
TEMP000710,52.8693535,1.1662185
TEMP000711,52.9109121,0.800341
TEMP000712,52.5276646,1.2455362
TEMP000713,52.7834717,0.7892042
TEMP000714,52.8213234,0.7084815
TEMP000715,52.938335,1.2427049
TEMP000716,52.5843418,0.3971121
TEMP000717,52.5826383,0.8015067
TEMP000718,52.8282778,0.5088119
